[2016-05-09 11:44:46,519] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Max_search_term_x_product_title_1D (1D): corr = 0.005073
[2016-05-09 11:44:46,532] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Min_search_term_x_product_title_1D (1D): corr = 0.035153
[2016-05-09 11:44:46,545] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Median_search_term_x_product_title_1D (1D): corr = 0.004166
[2016-05-09 20:24:39,249] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Mean_search_term_x_product_description_1D (1D): corr = 0.015850
[2016-05-09 20:24:39,261] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Std_search_term_x_product_description_1D (1D): corr = -0.029825
[2016-05-09 20:24:39,273] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Max_search_term_x_product_description_1D (1D): corr = -0.006492
[2016-05-09 20:24:39,284] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Min_search_term_x_product_description_1D (1D): corr = 0.035426
[2016-05-09 20:24:39,296] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Median_search_term_x_product_description_1D (1D): corr = -0.003787
[2016-05-09 20:24:39,308] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Mean_search_term_x_product_description_1D (1D): corr = 0.184633
[2016-05-09 20:24:39,320] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Std_search_term_x_product_description_1D (1D): corr = -0.116420
[2016-05-09 20:24:39,331] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Max_search_term_x_product_description_1D (1D): corr = 0.095521
[2016-05-09 20:24:39,343] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Min_search_term_x_product_description_1D (1D): corr = 0.167284
[2016-05-09 20:24:39,355] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Median_search_term_x_product_description_1D (1D): corr = 0.166795
[2016-05-09 20:24:39,367] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Mean_search_term_x_product_description_1D (1D): corr = 0.029233
[2016-05-09 20:24:39,378] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Std_search_term_x_product_description_1D (1D): corr = -0.028897
[2016-05-09 20:24:39,390] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Max_search_term_x_product_description_1D (1D): corr = 0.011985
[2016-05-09 20:24:39,402] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Min_search_term_x_product_description_1D (1D): corr = 0.042290
[2016-05-09 20:24:39,413] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Median_search_term_x_product_description_1D (1D): corr = 0.010663
[2016-05-09 20:24:39,425] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Mean_search_term_x_product_description_1D (1D): corr = 0.001152
[2016-05-09 20:24:39,437] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Std_search_term_x_product_description_1D (1D): corr = -0.027281
[2016-05-09 20:24:39,448] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Max_search_term_x_product_description_1D (1D): corr = -0.020118
[2016-05-09 20:24:39,460] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Min_search_term_x_product_description_1D (1D): corr = 0.027399
[2016-05-09 20:24:39,471] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Median_search_term_x_product_description_1D (1D): corr = -0.019003
[2016-05-10 05:22:23,450] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Mean_search_term_x_product_attribute_1D (1D): corr = -0.130911
[2016-05-10 05:22:23,462] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Std_search_term_x_product_attribute_1D (1D): corr = -0.059007
[2016-05-10 05:22:23,475] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Max_search_term_x_product_attribute_1D (1D): corr = -0.136694
[2016-05-10 05:22:23,487] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Min_search_term_x_product_attribute_1D (1D): corr = -0.099764
[2016-05-10 05:22:23,499] INFO: Word2Vec_Wikipedia_D300_CosineSim_Mean_Median_search_term_x_product_attribute_1D (1D): corr = -0.137131
[2016-05-10 05:22:23,511] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Mean_search_term_x_product_attribute_1D (1D): corr = -0.078363
[2016-05-10 05:22:23,523] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Std_search_term_x_product_attribute_1D (1D): corr = -0.149997
[2016-05-10 05:22:23,535] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Max_search_term_x_product_attribute_1D (1D): corr = -0.117417
[2016-05-10 05:22:23,548] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Min_search_term_x_product_attribute_1D (1D): corr = -0.019718
[2016-05-10 05:22:23,560] INFO: Word2Vec_Wikipedia_D300_CosineSim_Max_Median_search_term_x_product_attribute_1D (1D): corr = -0.080590
[2016-05-10 05:22:23,572] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Mean_search_term_x_product_attribute_1D (1D): corr = -0.129581
[2016-05-10 05:22:23,584] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Std_search_term_x_product_attribute_1D (1D): corr = -0.072966
[2016-05-10 05:22:23,596] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Max_search_term_x_product_attribute_1D (1D): corr = -0.137727
[2016-05-10 05:22:23,609] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Min_search_term_x_product_attribute_1D (1D): corr = -0.094098
[2016-05-10 05:22:23,621] INFO: Word2Vec_Wikipedia_D300_CosineSim_Min_Median_search_term_x_product_attribute_1D (1D): corr = -0.135682
[2016-05-10 05:22:23,633] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Mean_search_term_x_product_attribute_1D (1D): corr = -0.134033
[2016-05-10 05:22:23,646] INFO: Word2Vec_Wikipedia_D300_CosineSim_Median_Std_search_term_x_product_attribute_1D (1D): corr = -0.061723
